time,id,travel_id,x,y,vx,vy,ax,ay
53.3271,42,2,30.6822,1.65055,14.1634,0.123967,4.50983,0.322548
53.3271,43,2,16.5162,2.77603,12.1365,-3.02381,1.44157,3.53923
53.3271,44,2,3.70138,5.24245,12.4201,-0.148393,0.3685,-4.80085
53.3271,45,1,-28.4098,-1.75,-19.9913,1.12835e-09,-0.0106812,-4.70145e-09
53.3271,46,2,-19.517,5.28297,12.568,0.613341,1.3586,-2.77924
53.3271,47,1,11.3181,-1.75,-19.904,-4.99532e-09,-0.115776,2.08138e-08
53.3271,48,2,-43.8075,1.75,12.7929,-2.26062e-11,-0.0431061,9.41924e-11
53.3271,49,1,50.3509,-1.75,-19.0102,2.29991e-10,-1.11389,-9.58296e-10
53.3271,50,2,-70.2583,1.75,14.2098,-4.99628e-09,0.432301,2.08178e-08
53.3271,51,1,84.0214,-1.75,-13.3328,-4.08278e-10,-4.83208,1.70116e-09
53.3271,52,1,94.6623,-1.75,-7.94073,-3.28586e-09,-5.85527,1.36911e-08
53.3271,53,3,-89.6634,1.75,1.97996,3.28791e-09,5.99949,-3.77047e-07
53.3371,39,2,88.582,1.74983,19.8141,0.000187002,0.222588,0.00069107
53.3371,41,2,51.6511,1.75376,18.2859,0.00772115,1.824,-0.0628212
53.3371,42,2,30.8243,1.65182,14.2083,0.126964,4.49076,0.299729
53.3371,43,2,16.6377,2.74616,12.1505,-2.98735,1.39809,3.64587
53.3371,44,2,3.82561,5.24048,12.4233,-0.19687,0.322056,-4.84766
53.3371,45,1,-28.6097,-1.75,-19.9914,1.08322e-09,-0.0104904,-4.5134e-09
53.3371,46,2,-19.3911,5.28883,12.5815,0.58617,1.34506,-2.71714
53.3371,47,1,11.119,-1.75,-19.9051,-4.79551e-09,-0.114441,1.99813e-08
53.3371,48,2,-43.6796,1.75,12.7925,-2.17019e-11,-0.042057,9.04247e-11
53.3371,49,1,50.1606,-1.75,-19.0213,2.20791e-10,-1.10245,-9.19964e-10
53.3371,50,2,-70.1162,1.75,14.214,-4.79642e-09,0.421906,1.99851e-08
53.3371,51,1,83.8875,-1.75,-13.381,-3.91947e-10,-4.81501,1.63311e-09
53.3371,52,1,94.5823,-1.75,-7.99924,-3.15442e-09,-5.85089,1.31434e-08
53.3371,53,3,-89.643,1.75,2.03996,-5.40649e-10,5.99943,-3.82856e-07
53.3471,39,2,88.7802,1.74983,19.8163,0.000193484,0.220108,0.00064817
53.3471,41,2,51.8341,1.75383,18.304,0.00711189,1.80721,-0.0609263
53.3471,42,2,30.9668,1.65312,14.253,0.12974,4.47149,0.277582
53.3471,43,2,16.7594,2.71665,12.1644,-2.95075,1.39132,3.65934
53.3471,44,2,3.94987,5.23802,12.4261,-0.245779,0.277519,-4.89094
53.3471,45,1,-28.8096,-1.75,-19.9915,1.03989e-09,-0.0102997,-4.33286e-09
53.3471,46,2,-19.2652,5.29443,12.5948,0.559617,1.33142,-2.65534
53.3471,47,1,10.92,-1.75,-19.9063,-4.60369e-09,-0.113106,1.9182e-08
53.3471,48,2,-43.5516,1.75,12.7921,-2.08338e-11,-0.0411034,8.68076e-11
53.3471,49,1,49.9703,-1.75,-19.0322,2.1196e-10,-1.091,-8.83166e-10
53.3471,50,2,-69.974,1.75,14.2181,-4.60457e-09,0.411606,1.91857e-08
53.3471,51,1,83.7533,-1.75,-13.429,-3.76269e-10,-4.79774,1.56779e-09
53.3471,52,1,94.5017,-1.75,-8.05771,-3.02824e-09,-5.8465,1.26177e-08
53.3471,53,3,-89.622,1.75,2.09995,-5.31826e-10,5.99935,8.82322e-10
53.3571,39,2,88.9783,1.74983,19.8185,0.000199554,0.217438,0.000606984
53.3571,41,2,52.0174,1.75389,18.3219,0.00652131,1.79062,-0.0590586
53.3571,42,2,31.1098,1.65444,14.2975,0.132301,4.45213,0.2561
53.3571,43,2,16.8811,2.68752,12.1779,-2.9131,1.3484,3.76492
53.3571,44,2,4.07416,5.23508,12.4289,-0.294344,0.27771,-4.85654
53.3571,45,1,-29.0095,-1.75,-19.9916,9.98291e-10,-0.0102997,-4.15955e-09
53.3571,46,2,-19.1391,5.29977,12.608,0.533678,1.31769,-2.5939
53.3571,47,1,10.7209,-1.75,-19.9074,-4.41954e-09,-0.111771,1.84147e-08
53.3571,48,2,-43.4237,1.75,12.7917,-2.00005e-11,-0.0401497,8.33354e-11
53.3571,49,1,49.7799,-1.75,-19.043,2.03481e-10,-1.07975,-8.47838e-10
53.3571,50,2,-69.8318,1.75,14.2221,5.11636e-09,0.401402,9.72093e-07
53.3571,51,1,83.6185,-1.75,-13.4768,-3.61219e-10,-4.78048,1.50508e-09
53.3571,52,1,94.4205,-1.75,-8.11613,-2.90712e-09,-5.84192,1.2113e-08
53.3571,53,3,-89.6004,1.75,2.15995,-5.22892e-10,5.99928,8.93446e-10
53.3671,39,2,89.1766,1.74983,19.8206,0.000205219,0.214958,0.000566492
53.3671,41,2,52.2008,1.75395,18.3396,0.00594913,1.77422,-0.0572179
53.3671,42,2,31.2532,1.65579,14.3419,0.134654,4.43268,0.235273
53.3671,43,2,17.0031,2.65877,12.1909,-2.87445,1.30587,3.86574
53.3671,44,2,4.19847,5.23165,12.4312,-0.343353,0.234222,-4.90088
53.3671,45,1,-29.2095,-1.75,-19.9917,9.5836e-10,-0.0101089,-3.99316e-09
53.3671,46,2,-19.0129,5.30485,12.621,0.508349,1.30396,-2.53284
53.3671,47,1,10.5218,-1.75,-19.9085,-4.24276e-09,-0.110435,1.76782e-08
53.3671,48,2,-43.2958,1.75,12.7913,-1.92005e-11,-0.0392914,8.0002e-11
53.3671,49,1,49.5894,-1.75,-19.0537,1.95342e-10,-1.06869,-8.13925e-10
53.3671,50,2,-69.6895,1.75,14.226,4.9117e-09,0.391293,-2.04655e-08
53.3671,51,1,83.4832,-1.75,-13.5244,-3.4677e-10,-4.76303,1.44487e-09
53.3671,52,1,94.3388,-1.75,-8.1745,-2.79083e-09,-5.83725,1.16285e-08
53.3671,53,3,-89.5782,1.75,2.21994,-5.13856e-10,5.99918,9.03533e-10
53.377,39,2,89.3748,1.74983,19.8227,0.000210495,0.212479,0.00052762
53.377,41,2,52.3843,1.75401,18.3572,0.00539508,1.75781,-0.0554051
53.377,42,2,31.397,1.65715,14.386,0.136805,4.41313,0.215089
53.377,43,2,17.1251,2.63042,12.2039,-2.83569,1.30033,3.87564
53.377,44,2,4.32281,5.22773,12.4336,-0.392006,0.23489,-4.86526
53.377,45,1,-29.4094,-1.75,-19.9918,9.20025e-10,-0.00991821,-3.83344e-09
53.377,46,2,-18.8866,5.30969,12.6339,0.483627,1.29023,-2.4722
53.377,47,1,10.3227,-1.75,-19.9096,-4.07305e-09,-0.1091,1.6971e-08
53.377,48,2,-43.1679,1.75,12.7909,-1.84324e-11,-0.0384331,7.68019e-11
53.377,49,1,49.3987,-1.75,-19.0642,1.87528e-10,-1.05743,-7.81368e-10
53.377,50,2,-69.5472,1.75,14.2299,4.71524e-09,0.381279,-1.96468e-08
53.377,51,1,83.3475,-1.75,-13.5718,-3.32899e-10,-4.74539,1.38708e-09
53.377,52,1,94.2565,-1.75,-8.23282,-2.6792e-09,-5.83258,1.11633e-08
53.377,53,3,-89.5554,1.75,2.27993,-5.0473e-10,5.99909,9.12581e-10
53.387,39,2,89.573,1.74984,19.8248,0.000215389,0.209999,0.000489349
53.387,41,2,52.5681,1.75405,18.3746,0.00485887,1.74141,-0.0536209
53.387,42,2,31.5413,1.65854,14.4299,0.13876,4.39358,0.19554
53.387,43,2,17.2473,2.60246,12.2165,-2.79594,1.25847,3.97544
53.387,44,2,4.44716,5.22332,12.4355,-0.441112,0.192451,-4.91063
53.387,45,1,-29.6093,-1.75,-19.9919,8.83224e-10,-0.00991821,-3.6801e-09
53.387,46,2,-18.7601,5.31428,12.6467,0.459507,1.27649,-2.41199
53.387,47,1,10.1236,-1.75,-19.9107,-3.91013e-09,-0.107765,1.62922e-08
53.387,48,2,-43.04,1.75,12.7905,-1.76951e-11,-0.0375748,7.37297e-11
53.387,49,1,49.208,-1.75,-19.0747,1.80027e-10,-1.04656,-7.50114e-10
53.387,50,2,-69.4049,1.75,14.2336,4.52663e-09,0.371456,-1.8861e-08
53.387,51,1,83.2113,-1.75,-13.6191,-3.19583e-10,-4.72775,1.3316e-09
53.387,52,1,94.1736,-1.75,-8.2911,-2.57203e-09,-5.82771,1.07168e-08
53.387,53,3,-89.532,1.75,2.33992,-4.95525e-10,5.99899,9.20597e-10
53.397,39,2,89.7713,1.74984,19.8269,0.000219915,0.20752,0.000452608
53.397,41,2,52.752,1.7541,18.3919,0.00434022,1.72539,-0.0518652
53.397,42,2,31.6861,1.65995,14.4737,0.140527,4.37384,0.176619
53.397,43,2,17.3695,2.57491,12.2214,-2.75487,0.493908,4.10705
53.397,44,2,4.57153,5.21841,12.437,-0.490637,0.151825,-4.95251
53.397,45,1,-29.8092,-1.75,-19.992,8.47895e-10,-0.00972748,-3.5329e-09
53.397,46,2,-18.6335,5.31864,12.6593,0.435985,1.26276,-2.35228
53.397,47,1,9.92449,-1.75,-19.9117,-3.75372e-09,-0.10643,1.56405e-08
53.397,48,2,-42.9121,1.75,12.7901,-1.69873e-11,-0.0368118,7.07805e-11
53.397,49,1,49.0171,-1.75,-19.085,1.72826e-10,-1.03569,-7.20109e-10
53.397,50,2,-69.2625,1.75,14.2372,4.34556e-09,0.361729,-1.81065e-08
53.397,51,1,83.0747,-1.75,-13.6662,-3.068e-10,-4.70991,1.27833e-09
53.397,52,1,94.0901,-1.75,-8.34933,-2.46915e-09,-5.82275,1.02881e-08
53.397,53,3,-89.508,1.75,2.39991,-4.86249e-10,5.99887,9.27591e-10
53.407,39,2,89.9696,1.74984,19.829,0.000224088,0.20504,0.000417339
53.407,41,2,52.9361,1.75414,18.409,0.00383884,1.70918,-0.0501377
53.407,42,2,31.8312,1.66137,14.5172,0.14211,4.354,0.158311
53.407,43,2,17.4917,2.54777,12.2263,-2.71374,0.489235,4.11258
53.407,44,2,4.69592,5.21301,12.4385,-0.539805,0.153446,-4.91679
53.407,45,1,-30.0091,-1.75,-19.9921,8.13979e-10,-0.00972748,-3.39158e-09
53.407,46,2,-18.5068,5.32277,12.6718,0.413054,1.24893,-2.29306
53.407,47,1,9.72536,-1.75,-19.9128,-3.60357e-09,-0.105286,1.50149e-08
53.407,48,2,-42.7842,1.75,12.7898,-1.63078e-11,-0.0365257,6.79493e-11
53.407,49,1,48.8262,-1.75,-19.0953,1.65913e-10,-1.02482,-6.91305e-10
53.407,50,2,-69.1201,1.75,14.2407,4.17174e-09,0.352097,-1.73822e-08
53.407,51,1,82.9375,-1.75,-13.7131,-2.94528e-10,-4.69198,1.2272e-09
53.407,52,1,94.006,-1.75,-8.40751,-2.37038e-09,-5.81779,9.87659e-09
